Interval=	0.001 s
ExcelDateTime=	4.3161461872426349e+004	3/2/2018 11:05:05.777636
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2	Channel 3
Range=	0.8691 V	10.000 V
0.499	0.0534	-0.002
0.5	0.0534	-0.009
0.501	0.0534	-0.018
0.502	0.0534	-0.027
0.503	0.0534	-0.032
0.504	0.0534	-0.034
0.505	0.0534	-0.032
0.506	0.0534	-0.026
0.507	0.0534	-0.017
0.508	0.0534	-0.007
0.509	0.0534	0.001
0.51	0.0534	0.010
0.511	0.0534	0.016
0.512	0.0534	0.020
0.513	0.0534	0.021
0.514	0.0534	0.021
0.515	0.0534	0.016
0.516	0.0534	0.010
0.517	0.0534	0.003
0.518	0.0534	-0.006
0.519	0.0534	-0.014
0.52	0.0534	-0.023
0.521	0.0534	-0.029
0.522	0.0534	-0.030
0.523	0.0534	-0.028
0.524	0.0534	-0.021
0.525	0.0534	-0.012
0.526	0.0534	-0.001
0.527	0.0534	0.008
0.528	0.0534	0.018
0.529	0.0534	0.023
0.53	0.0555	0.025
0.531	0.0597	0.024
0.532	0.0597	0.017
0.533	0.0597	0.009
0.534	0.0597	-0.002
0.535	0.0597	-0.013
0.536	0.0597	-0.023
0.537	0.0597	-0.031
0.538	0.0597	-0.034
0.539	0.0597	-0.035
0.54	0.0597	-0.029
0.541	0.0597	-0.021
0.542	0.0597	-0.012
0.543	0.0597	0.000
0.544	0.0597	0.011
0.545	0.0597	0.019
0.546	0.0597	0.024
0.547	0.0595	0.026
0.548	0.0591	0.021
0.549	0.0591	0.013
0.55	0.0591	0.005
0.551	0.0591	-0.007
0.552	0.0591	-0.017
0.553	0.0591	-0.024
0.554	0.0591	-0.030
0.555	0.0591	-0.033
0.556	0.0591	-0.032
0.557	0.0591	-0.024
0.558	0.0591	-0.016
0.559	0.0591	-0.004
0.56	0.0591	0.007
0.561	0.0591	0.016
0.562	0.0591	0.023
0.563	0.0594	0.027
0.564	0.0600	0.026
0.565	0.0600	0.021
0.566	0.0600	0.012
0.567	0.0600	0.001
0.568	0.0600	-0.010
0.569	0.0600	-0.019
0.57	0.0600	-0.028
0.571	0.0600	-0.032
0.572	0.0600	-0.033
0.573	0.0600	-0.031
0.574	0.0600	-0.022
0.575	0.0600	-0.012
0.576	0.0600	-0.001
0.577	0.0600	0.009
0.578	0.0600	0.019
0.579	0.0600	0.025
0.58	0.0578	0.028
0.581	0.0534	0.027
0.582	0.0534	0.019
0.583	0.0534	0.010
0.584	0.0534	0.001
0.585	0.0534	-0.010
0.586	0.0534	-0.017
0.587	0.0534	-0.022
0.588	0.0534	-0.025
0.589	0.0534	-0.025
0.59	0.0534	-0.019
0.591	0.0534	-0.013
0.592	0.0534	-0.007
0.593	0.0534	-0.000
0.594	0.0534	0.004
0.595	0.0534	0.010
0.596	0.0472	0.013
0.597	0.0347	0.013
0.598	0.0347	0.011
0.599	0.0347	0.007
0.6	0.0347	0.000
0.601	0.0347	-0.007
0.602	0.0347	-0.012
0.603	0.0347	-0.016
0.604	0.0347	-0.020
0.605	0.0347	-0.020
0.606	0.0347	-0.019
0.607	0.0347	-0.014
0.608	0.0347	-0.007
0.609	0.0347	-0.001
0.61	0.0347	0.005
0.611	0.0347	0.010
0.612	0.0347	0.015
0.613	0.0455	0.017
0.614	0.0672	0.016
0.615	0.0672	0.011
0.616	0.0672	0.005
0.617	0.0672	-0.000
0.618	0.0672	-0.008
0.619	0.0672	-0.014
0.62	0.0672	-0.019
0.621	0.0672	-0.022
0.622	0.0672	-0.024
0.623	0.0672	-0.021
0.624	0.0672	-0.016
