Time,Fura_10,Group,Time,Fura_11,Group,Time,Fura_12,Group,Time,Fura_13,Group,Time,Fura_14,Group,Time,Fura_15,Group,Time,Fura_17,Group
0.488,1.589,ank,0.488,1.502,ank,0.488,1.151,ank,0.488,1.652,ank,0.488,1.473,ank,0.488,1.359,ank,0.488,1.363,ank
0.492,1.578,ank,0.492,1.492,ank,0.492,1.143,ank,0.492,1.653,ank,0.492,1.469,ank,0.492,1.357,ank,0.492,1.365,ank
0.496,1.574,ank,0.496,1.485,ank,0.496,1.142,ank,0.496,1.649,ank,0.496,1.458,ank,0.496,1.354,ank,0.496,1.36,ank
0.5,1.565,ank,0.5,1.474,ank,0.5,1.133,ank,0.5,1.619,ank,0.5,1.443,ank,0.5,1.358,ank,0.5,1.361,ank
0.504,1.569,ank,0.504,1.463,ank,0.504,1.135,ank,0.504,1.618,ank,0.504,1.452,ank,0.504,1.347,ank,0.504,1.354,ank
0.508,1.553,ank,0.508,1.456,ank,0.508,1.127,ank,0.508,1.605,ank,0.508,1.45,ank,0.508,1.338,ank,0.508,1.347,ank
0.512,1.544,ank,0.512,1.445,ank,0.512,1.13,ank,0.512,1.593,ank,0.512,1.439,ank,0.512,1.338,ank,0.512,1.345,ank
0.516,1.533,ank,0.516,1.43,ank,0.516,1.129,ank,0.516,1.582,ank,0.516,1.438,ank,0.516,1.335,ank,0.516,1.341,ank
0.52,1.524,ank,0.52,1.429,ank,0.52,1.123,ank,0.52,1.575,ank,0.52,1.433,ank,0.52,1.333,ank,0.52,1.339,ank
0.524,1.529,ank,0.524,1.419,ank,0.524,1.115,ank,0.524,1.554,ank,0.524,1.432,ank,0.524,1.318,ank,0.524,1.338,ank
0.528,1.513,ank,0.528,1.419,ank,0.528,1.112,ank,0.528,1.546,ank,0.528,1.43,ank,0.528,1.32,ank,0.528,1.335,ank
0.532,1.508,ank,0.532,1.408,ank,0.532,1.11,ank,0.532,1.535,ank,0.532,1.429,ank,0.532,1.309,ank,0.532,1.327,ank
0.536,1.499,ank,0.536,1.386,ank,0.536,1.106,ank,0.536,1.512,ank,0.536,1.421,ank,0.536,1.311,ank,0.536,1.319,ank
0.54,1.508,ank,0.54,1.382,ank,0.54,1.105,ank,0.54,1.519,ank,0.54,1.415,ank,0.54,1.307,ank,0.54,1.321,ank
0.544,1.494,ank,0.544,1.393,ank,0.544,1.101,ank,0.544,1.502,ank,0.544,1.403,ank,0.544,1.299,ank,0.544,1.321,ank
0.548,1.487,ank,0.548,1.387,ank,0.548,1.097,ank,0.548,1.492,ank,0.548,1.409,ank,0.548,1.3,ank,0.548,1.313,ank
0.552,1.48,ank,0.552,1.364,ank,0.552,1.093,ank,0.552,1.484,ank,0.552,1.404,ank,0.552,1.285,ank,0.552,1.317,ank
0.556,1.475,ank,0.556,1.35,ank,0.556,1.095,ank,0.556,1.48,ank,0.556,1.399,ank,0.556,1.283,ank,0.556,1.302,ank
0.56,1.471,ank,0.56,1.368,ank,0.56,1.093,ank,0.56,1.466,ank,0.56,1.392,ank,0.56,1.276,ank,0.56,1.304,ank
0.564,1.454,ank,0.564,1.347,ank,0.564,1.088,ank,0.564,1.454,ank,0.564,1.394,ank,0.564,1.27,ank,0.564,1.301,ank
0.568,1.458,ank,0.568,1.327,ank,0.568,1.081,ank,0.568,1.442,ank,0.568,1.39,ank,0.568,1.275,ank,0.568,1.291,ank
0.572,1.452,ank,0.572,1.326,ank,0.572,1.078,ank,0.572,1.442,ank,0.572,1.379,ank,0.572,1.273,ank,0.572,1.284,ank
0.576,1.44,ank,0.576,1.321,ank,0.576,1.079,ank,0.576,1.424,ank,0.576,1.375,ank,0.576,1.257,ank,0.576,1.288,ank
0.58,1.438,ank,0.58,1.322,ank,0.58,1.074,ank,0.58,1.425,ank,0.58,1.365,ank,0.58,1.255,ank,0.58,1.284,ank
0.584,1.429,ank,0.584,1.316,ank,0.584,1.073,ank,0.584,1.408,ank,0.584,1.367,ank,0.584,1.251,ank,0.584,1.283,ank
0.588,1.415,ank,0.588,1.304,ank,0.588,1.072,ank,0.588,1.397,ank,0.588,1.361,ank,0.588,1.256,ank,0.588,1.276,ank
0.592,1.408,ank,0.592,1.287,ank,0.592,1.065,ank,0.592,1.393,ank,0.592,1.365,ank,0.592,1.241,ank,0.592,1.274,ank
0.596,1.419,ank,0.596,1.296,ank,0.596,1.064,ank,0.596,1.39,ank,0.596,1.352,ank,0.596,1.244,ank,0.596,1.274,ank
0.6,1.405,ank,0.6,1.293,ank,0.6,1.06,ank,0.6,1.369,ank,0.6,1.343,ank,0.6,1.228,ank,0.6,1.255,ank
0.604,1.399,ank,0.604,1.279,ank,0.604,1.058,ank,0.604,1.38,ank,0.604,1.346,ank,0.604,1.23,ank,0.604,1.252,ank
0.608,1.391,ank,0.608,1.273,ank,0.608,1.055,ank,0.608,1.365,ank,0.608,1.337,ank,0.608,1.229,ank,0.608,1.255,ank
0.612,1.383,ank,0.612,1.279,ank,0.612,1.056,ank,0.612,1.345,ank,0.612,1.337,ank,0.612,1.223,ank,0.612,1.256,ank
0.616,1.385,ank,0.616,1.264,ank,0.616,1.052,ank,0.616,1.349,ank,0.616,1.328,ank,0.616,1.222,ank,0.616,1.252,ank
0.62,1.383,ank,0.62,1.262,ank,0.62,1.047,ank,0.62,1.341,ank,0.62,1.326,ank,0.62,1.221,ank,0.62,1.243,ank
0.624,1.381,ank,0.624,1.25,ank,0.624,1.048,ank,0.624,1.327,ank,0.624,1.337,ank,0.624,1.213,ank,0.624,1.246,ank
0.628,1.354,ank,0.628,1.253,ank,0.628,1.039,ank,0.628,1.34,ank,0.628,1.325,ank,0.628,1.206,ank,0.628,1.242,ank
0.632,1.357,ank,0.632,1.243,ank,0.632,1.042,ank,0.632,1.326,ank,0.632,1.312,ank,0.632,1.205,ank,0.632,1.241,ank
0.636,1.362,ank,0.636,1.248,ank,0.636,1.041,ank,0.636,1.316,ank,0.636,1.319,ank,0.636,1.19,ank,0.636,1.236,ank
0.64,1.349,ank,0.64,1.241,ank,0.64,1.041,ank,0.64,1.319,ank,0.64,1.304,ank,0.64,1.191,ank,0.64,1.23,ank
0.644,1.338,ank,0.644,1.227,ank,0.644,1.037,ank,0.644,1.311,ank,0.644,1.304,ank,0.644,1.194,ank,0.644,1.233,ank
0.648,1.337,ank,0.648,1.236,ank,0.648,1.031,ank,0.648,1.297,ank,0.648,1.299,ank,0.648,1.19,ank,0.648,1.22,ank
0.652,1.33,ank,0.652,1.231,ank,0.652,1.034,ank,0.652,1.3,ank,0.652,1.303,ank,0.652,1.181,ank,0.652,1.222,ank
0.656,1.335,ank,0.656,1.21,ank,0.656,1.03,ank,0.656,1.285,ank,0.656,1.303,ank,0.656,1.181,ank,0.656,1.218,ank
0.66,1.323,ank,0.66,1.215,ank,0.66,1.028,ank,0.66,1.273,ank,0.66,1.289,ank,0.66,1.181,ank,0.66,1.218,ank
0.664,1.324,ank,0.664,1.214,ank,0.664,1.022,ank,0.664,1.281,ank,0.664,1.282,ank,0.664,1.179,ank,0.664,1.206,ank
0.668,1.309,ank,0.668,1.208,ank,0.668,1.022,ank,0.668,1.262,ank,0.668,1.287,ank,0.668,1.178,ank,0.668,1.213,ank
0.672,1.307,ank,0.672,1.21,ank,0.672,1.022,ank,0.672,1.268,ank,0.672,1.277,ank,0.672,1.17,ank,0.672,1.208,ank
0.676,1.308,ank,0.676,1.204,ank,0.676,1.02,ank,0.676,1.258,ank,0.676,1.279,ank,0.676,1.166,ank,0.676,1.203,ank
0.68,1.307,ank,0.68,1.206,ank,0.68,1.016,ank,0.68,1.256,ank,0.68,1.277,ank,0.68,1.153,ank,0.68,1.203,ank
0.684,1.287,ank,0.684,1.198,ank,0.684,1.017,ank,0.684,1.253,ank,0.684,1.273,ank,0.684,1.158,ank,0.684,1.2,ank
0.688,1.293,ank,0.688,1.19,ank,0.688,1.012,ank,0.688,1.245,ank,0.688,1.274,ank,0.688,1.168,ank,0.688,1.196,ank
0.692,1.285,ank,0.692,1.19,ank,0.692,1.012,ank,0.692,1.244,ank,0.692,1.269,ank,0.692,1.147,ank,0.692,1.192,ank
0.696,1.291,ank,0.696,1.173,ank,0.696,1.009,ank,0.696,1.24,ank,0.696,1.266,ank,0.696,1.158,ank,0.696,1.189,ank
0.7,1.284,ank,0.7,1.178,ank,0.7,1.008,ank,0.7,1.226,ank,0.7,1.264,ank,0.7,1.153,ank,0.7,1.195,ank
0.704,1.275,ank,0.704,1.17,ank,0.704,1.006,ank,0.704,1.223,ank,0.704,1.258,ank,0.704,1.14,ank,0.704,1.188,ank
