Time,Channel 1,Channel 2,Channel 3
0.363,29.22,0.5084,-0.245
0.364,98.28,0.5084,-0.188
0.365,95.94,0.5084,-0.049
0.366,70.78,0.5084,0.004
0.367,112.50,0.5084,0.093
0.368,78.44,0.5084,0.229
0.369,-0.31,0.3459,0.250
0.37,11.09,0.0209,0.229
0.371,-9.69,0.2111,0.272
0.372,-88.75,0.5916,0.209
0.373,-83.13,0.5916,0.094
0.374,-78.59,0.5916,0.043
0.375,-113.91,0.5916,-0.063
0.376,-78.44,0.5916,-0.185
0.377,-40.78,0.5916,-0.220
0.378,-50.00,0.5916,-0.266
0.379,51.56,0.5916,-0.320
0.38,104.37,0.5916,-0.163
0.381,43.75,0.5916,-0.111
0.382,100.94,0.5916,-0.076
0.383,117.34,0.5916,0.091
0.384,42.03,0.5916,0.159
0.385,49.53,0.5916,0.175
0.386,51.56,0.5916,0.258
0.387,-27.97,0.5903,0.278
0.388,-44.84,0.5878,0.202
0.389,-52.66,0.5878,0.188
0.39,-130.78,0.5878,0.097
0.391,-120.16,0.5878,-0.073
0.392,-55.31,0.5878,-0.143
0.393,-76.25,0.5878,-0.184
0.394,-62.97,0.5878,-0.296
0.395,30.16,0.5878,-0.310
0.396,40.31,0.5878,-0.236
0.397,51.41,0.5878,-0.229
0.398,129.38,0.5878,-0.133
0.399,98.13,0.5878,0.030
0.4,48.28,0.5878,0.063
0.401,87.03,0.5878,0.126
0.402,42.34,0.4007,0.238
0.403,-12.66,0.0266,0.211
0.404,21.25,0.0266,0.212
0.405,-25.16,0.1864,0.253
0.406,-110.00,0.5059,0.162
0.407,-94.53,0.5059,0.033
0.408,-79.69,0.5059,-0.027
0.409,-112.66,0.5059,-0.126
0.41,-53.28,0.5059,-0.253
0.411,-6.09,0.4689,-0.233
0.412,-15.31,0.3947,-0.265
0.413,61.41,0.3947,-0.263
0.414,103.13,0.3947,-0.142
0.415,82.50,0.3947,-0.057
0.416,93.44,0.3947,0.023
0.417,101.72,0.3947,0.130
0.418,39.37,0.2860,0.227
0.419,25.47,0.0688,0.209
0.42,41.09,0.0688,0.278
0.421,-47.34,0.2493,0.291
0.422,-79.22,0.6103,0.183
0.423,-84.22,0.6103,0.133
0.424,-140.63,0.6103,0.014
0.425,-109.69,0.6103,-0.149
0.426,-45.62,0.6103,-0.205
0.427,-57.19,0.6103,-0.240
0.428,-26.09,0.6103,-0.319
