Time,Group,Intracellular_Calcium
0.504,ctrl,1.066
0.508,ank,1.4108571428571428
0.508,ctrl,1.0642857142857143
0.512,ank,1.4048571428571428
0.512,ctrl,1.0630000000000002
0.516,ank,1.3982857142857144
0.516,ctrl,1.0618571428571428
0.52,ank,1.3937142857142857
0.52,ctrl,1.0571428571428572
0.524,ank,1.3864285714285713
0.524,ctrl,1.0557142857142858
0.528,ank,1.3821428571428573
0.528,ctrl,1.0517142857142858
0.532,ank,1.375142857142857
0.532,ctrl,1.0497142857142856
0.536,ank,1.364857142857143
0.536,ctrl,1.0475714285714286
0.54,ank,1.3652857142857144
0.54,ctrl,1.0464285714285713
0.544,ank,1.359
0.544,ctrl,1.044857142857143
0.548,ank,1.355
0.548,ctrl,1.0395714285714286
0.552,ank,1.3467142857142858
0.552,ctrl,1.0391428571428571
0.556,ank,1.3405714285714285
0.556,ctrl,1.036
0.56,ank,1.3385714285714287
0.56,ctrl,1.0334285714285714
0.564,ank,1.3297142857142856
0.564,ctrl,1.0308571428571427
0.568,ank,1.3234285714285714
0.568,ctrl,1.0297142857142858
0.572,ank,1.3191428571428572
0.572,ctrl,1.0287142857142857
0.576,ank,1.3119999999999998
0.576,ctrl,1.0234285714285714
0.58,ank,1.309
0.58,ctrl,1.022142857142857
0.584,ank,1.3038571428571426
0.584,ctrl,1.0197142857142858
0.588,ank,1.2972857142857142
0.588,ctrl,1.0185714285714285
0.592,ank,1.2904285714285713
0.592,ctrl,1.016
0.596,ank,1.2912857142857141
0.596,ctrl,1.0118571428571428
0.6,ank,1.279
0.6,ctrl,1.0122857142857142
0.604,ank,1.2777142857142856
0.604,ctrl,1.0065714285714287
0.608,ank,1.272142857142857
0.608,ctrl,1.0052857142857143
0.612,ank,1.2684285714285715
0.612,ctrl,1.0034285714285713
0.616,ank,1.2645714285714287
0.616,ctrl,0.9995714285714286
0.62,ank,1.2604285714285715
0.62,ctrl,0.9974285714285714
0.624,ank,1.2574285714285713
0.624,ctrl,0.9958571428571429
0.628,ank,1.2512857142857143
0.628,ctrl,0.9958571428571429
0.632,ank,1.2465714285714287
0.632,ctrl,0.9901428571428571
0.636,ank,1.2445714285714284
0.636,ctrl,0.9867142857142858
